year,sex,age,pop
1997,Males,55,912622
1997,Males,60,1027852.484375
1997,Males,65,942162.171875
1997,Males,70,750205.1250000001
1997,Males,75,483668.5625
1997,Males,80,278953.390625
1997,Males,85,140270.703125
1997,Males,90,41715.90625
1997,Males,95,6637.734375
1998,Females,0,176014.658185
1998,Females,1,539145.15833
1998,Females,5,981117.188849
1998,Females,10,1104712.53125
1998,Females,15,1409202.0625
1998,Females,20,1675037.59375
1998,Females,25,1649335.0625
1998,Females,30,1637798.40625
1998,Females,35,1530275.0625
1998,Females,40,1360462.96875
1998,Females,45,1241673
1998,Females,50,1195787.78125
1998,Females,55,982435.59375
1998,Females,60,1086718.375
1998,Females,65,1104869.0625
1998,Females,70,959862.28125
1998,Females,75,751629.40625
1998,Females,80,510433.28125
1998,Females,85,306128.03125
1998,Females,90,111974
1998,Females,95,22540.625
1998,Males,0,188065.14019
1998,Males,1,571246.469513
1998,Males,5,1038007.3591870001
1998,Males,10,1164645.4375
1998,Males,15,1478980.3125
1998,Males,20,1753119.8125
1998,Males,25,1717210.4375
1998,Males,30,1672175.8125
1998,Males,35,1536770.34375
1998,Males,40,1354211.90625
1998,Males,45,1231667.3125
1998,Males,50,1163667.34375
1998,Males,55,938129.125
1998,Males,60,989192.3125
1998,Males,65,960938.53125
1998,Males,70,763627.5
1998,Males,75,515666.375
1998,Males,80,280159.78125
1998,Males,85,143781.15625
1998,Males,90,43968.96875
1998,Males,95,7209.1875
1999,Females,0,178337.49234300002
1999,Females,1,533846.6234200001
1999,Females,5,966985.339969
1999,Females,10,1072581.703125
1999,Females,15,1343196.953125
1999,Females,20,1658339.984375
1999,Females,25,1667028.1875
1999,Females,30,1645888.1875
1999,Females,35,1564619.953125
1999,Females,40,1408733.9375
1999,Females,45,1244405.953125
1999,Females,50,1219813.765625
1999,Females,55,1044556.234375
1999,Females,60,1025771.3125
1999,Females,65,1113117.5625
1999,Females,70,977123.515625
1999,Females,75,782653.140625
1999,Females,80,513779.0625
1999,Females,85,313012.84375
1999,Females,90,116340.5
1999,Females,95,24490.9375
1999,Males,0,189974.21485100003
1999,Males,1,564379.800446
1999,Males,5,1022949.179538
1999,Males,10,1131783.96875
1999,Males,15,1410324.109375
1999,Males,20,1737372.40625
1999,Males,25,1737606.4375
1999,Males,30,1684723.953125
1999,Males,35,1574612.9375
1999,Males,40,1402383.953125
1999,Males,45,1235708
1999,Males,50,1186734.421875
1999,Males,55,1000863.125
1999,Males,60,932289.171875
1999,Males,65,970644.96875
1999,Males,70,779075.9531250001
1999,Males,75,545971.03125
1999,Males,80,281939.46875
1999,Males,85,145267
1999,Males,90,45908.875
1999,Males,95,7659.59375
2000,Females,0,186652.25135
2000,Females,1,534348.555466
2000,Females,5,949726.267313
2000,Females,10,1047377.0625
2000,Females,15,1280803.8125
2000,Females,20,1623925.5625
2000,Females,25,1687139.9375
2000,Females,30,1650003
2000,Females,35,1597503.6875000002
2000,Females,40,1459474
2000,Females,45,1265309.6875
2000,Females,50,1224470.4375
2000,Females,55,1088096.0625
2000,Females,60,996222.4375
2000,Females,65,1112269.625
2000,Females,70,996560.6875
2000,Females,75,810090.3125
2000,Females,80,525307.875
2000,Females,85,318621.0625
2000,Females,90,122639.5625
2000,Females,95,27401
2000,Males,0,198117.23530200002
2000,Males,1,564566.267122
2000,Males,5,1004253.246761
2000,Males,10,1105523.4375
2000,Males,15,1346769.75
2000,Males,20,1701280.5
2000,Males,25,1759905.1875
2000,Males,30,1695289.9375
2000,Males,35,1610610.5
2000,Males,40,1453816.125
2000,Males,45,1255951.6875
2000,Males,50,1193143.875
2000,Males,55,1043015.0625
2000,Males,60,906799.4375
2000,Males,65,972415.3125
2000,Males,70,798127.625
2000,Males,75,571359.6875
2000,Males,80,290989.25
2000,Males,85,147411.4375
2000,Males,90,47977.125
2000,Males,95,8659.3125
2001,Females,0,194066.11819500002
2001,Females,1,540985.030469
2001,Females,5,933597.069078
2001,Females,10,1028037.328125
2001,Females,15,1222185.828125
2001,Females,20,1574690.203125
2001,Females,25,1705797.890625
2001,Females,30,1659079.5312499998
2001,Females,35,1625311.75
2001,Females,40,1504342.6249999998
2001,Females,45,1299880.5625
2001,Females,50,1226842.296875
2001,Females,55,1116872.875
2001,Females,60,977440.015625
2001,Females,65,1113220.453125
2001,Females,70,1014944.625
2001,Females,75,832867.140625
2001,Females,80,548102.296875
2001,Females,85,324431.859375
2001,Females,90,129813.359375
2001,Females,95,31412.6875
2001,Males,0,204944.000018
2001,Males,1,571038.889339
2001,Males,5,985611.992231
2001,Males,10,1086070.84375
2001,Males,15,1286006.609375
2001,Males,20,1649878.765625
2001,Males,25,1780521.7968749998
2001,Males,30,1710774.578125
2001,Males,35,1642653.671875
2001,Males,40,1498984.71875
2001,Males,45,1288987.296875
